400 PA5-E-Debug-Answer.txt 6
  111.6856  125.6666   59.0646  100.0028   27.6494  122.7559
   -5.36     8.60    -5.99        -5.36     8.59    -5.99     0.012
    0.27    14.80    -0.89         0.26    14.80    -0.89     0.011
  -30.78    -5.56   -16.56       -30.78    -5.56   -16.56     0.002
  -32.46     1.43   -38.43       -32.52     1.47   -38.47     0.077
   -8.55   -20.64   -20.67        -8.62   -20.64   -20.68     0.073
   37.65    -2.20     7.58        37.73    -2.25     7.56     0.097
  -15.58    -9.89   -48.55       -15.58    -9.89   -48.56     0.007
  -20.36   -12.21   -47.88       -20.36   -12.23   -47.84     0.042
   -5.49    21.16    20.23        -5.49    21.15    20.23     0.011
   18.70     2.66   -27.18        18.73     2.68   -27.16     0.047
   -9.03    11.85    36.54        -9.06    11.88    36.47     0.081
  -23.49   -28.16   -38.32       -23.49   -28.14   -38.31     0.024
   -3.11   -13.75   -27.36        -3.12   -13.75   -27.36     0.015
  -11.78    -7.40     5.37       -11.75    -7.36     5.36     0.054
   23.00    17.87    34.43        23.06    17.94    34.43     0.088
   33.73    11.95    -4.50        33.80    11.94    -4.52     0.072
  -17.77   -25.87   -42.57       -17.76   -25.91   -42.61     0.062
   18.62    16.67   -27.06        18.56    16.61   -26.99     0.110
   25.21    -5.53    13.02        25.18    -5.69    13.06     0.170
  -31.95   -18.70   -14.35       -31.92   -18.70   -14.37     0.033
  -10.16   -22.95   -41.56       -10.15   -22.96   -41.56     0.007
  -10.75    11.58    35.83       -10.74    11.58    35.82     0.011
   14.48    -2.69    39.23        14.49    -2.81    39.23     0.115
  -18.84   -17.64   -48.25       -18.87   -17.61   -48.19     0.077
   40.27     4.04     2.44        40.09     4.11     2.47     0.200
   26.08     6.38    51.10        26.18     6.37    51.11     0.101
   -0.96    -1.88   -26.65        -0.94    -1.87   -26.67     0.038
   14.17     1.32   -18.56        14.22     1.31   -18.50     0.080
  -32.24   -18.52   -14.83       -32.28   -18.52   -14.80     0.043
  -37.28   -12.90   -19.71       -37.25   -12.89   -19.73     0.040
   -6.06    22.46    23.60        -6.07    22.50    23.58     0.039
   -2.86    -7.31   -41.78        -3.00    -7.33   -41.76     0.139
   28.84     8.36    34.64        28.67     8.32    34.61     0.181
   37.14    -3.84    12.55        37.13    -3.83    12.55     0.012
   -6.13   -17.72   -33.82        -6.13   -17.72   -33.82     0.006
    4.98    10.01   -13.08         4.98    10.01   -13.05     0.035
   15.73    12.69   -29.96        15.73    12.70   -29.97     0.009
  -24.20     4.52   -18.22       -24.19     4.49   -18.22     0.028
  -32.86     1.57   -37.64       -32.90     1.62   -37.65     0.062
   28.16    -8.52   -21.20        28.13    -8.44   -21.19     0.090
   25.13     6.86    59.51        24.97     6.88    59.48     0.158
   -6.63   -17.53   -27.47        -6.61   -17.54   -27.47     0.020
   -4.89     5.89    58.14        -4.98     5.89    58.14     0.093
   -5.05     5.69    59.90        -4.96     5.68    59.90     0.088
    6.08    -7.88   -24.83         5.98    -7.86   -24.69     0.172
   -7.98    -3.47    45.49        -7.98    -3.47    45.49     0.008
   -9.70   -13.41   -47.22        -9.69   -13.41   -47.21     0.012
   -5.61    -4.94    45.45        -5.68    -5.22    45.56     0.299
  -26.79   -28.11   -35.31       -26.80   -28.12   -35.31     0.015
   -6.99     3.54   -27.41        -6.99     3.53   -27.41     0.003
  -37.97   -12.70   -41.52       -37.98   -12.69   -41.57     0.048
   28.32     8.25   -23.49        28.31     8.25   -23.48     0.021
  -39.15    -2.92   -25.90       -39.24    -2.88   -25.87     0.097
    4.85   -11.84    -8.51         4.85   -11.74    -8.54     0.101
  -20.49   -15.88   -48.92       -20.49   -15.88   -48.98     0.061
   -2.33    -2.17    59.63        -2.36    -2.21    59.64     0.044
    2.26    -9.26     4.88         2.27    -9.42     4.90     0.160
   -3.96    10.27    -1.60        -4.05    10.36    -1.62     0.130
  -27.46     5.30   -19.60       -27.44     5.25   -19.64     0.069
   27.22    -5.23    18.56        27.28    -5.06    18.53     0.175
   -3.61    18.17    11.97        -3.51    18.13    12.01     0.108
   23.33    -4.48    16.94        23.32    -4.56    16.96     0.084
  -38.33    -4.32   -23.52       -38.36    -4.33   -23.51     0.036
  -25.27   -29.42   -33.99       -25.25   -29.39   -33.98     0.043
   18.13    -6.87     4.22        18.12    -6.84     4.21     0.035
   -3.67     9.24    70.81        -3.73     9.26    70.86     0.080
   -9.99    22.02    23.90        -9.94    21.96    23.92     0.077
  -28.08   -28.16   -28.09       -28.08   -28.17   -28.09     0.002
   -9.58     2.33    24.14        -9.48     2.32    24.12     0.101
   -6.36     3.51   -31.00        -6.35     3.53   -30.99     0.027
  -17.39   -23.07   -16.37       -17.38   -23.07   -16.37     0.005
   30.59    -6.27   -24.36        30.59    -6.27   -24.36     0.005
  -16.89    -1.63    -4.55       -16.90    -1.62    -4.55     0.012
  -24.65   -29.84   -33.41       -24.64   -29.81   -33.41     0.032
   -5.91   -16.80   -38.14        -5.99   -16.74   -38.14     0.104
  -15.59   -29.95   -32.46       -15.55   -30.05   -32.46     0.102
   -1.42   -14.31   -19.53        -1.45   -14.19   -19.50     0.133
   29.67    -8.55    11.16        29.65    -8.47    11.16     0.085
   36.86     1.97    14.01        36.91     1.99    14.04     0.064
   26.80    -5.92    15.62        26.73    -5.98    15.65     0.096
  -12.67     4.96   -29.41       -12.67     4.99   -29.40     0.033
   19.48    17.22   -25.73        19.45    17.19   -25.71     0.049
  -17.86    -5.85   -47.09       -17.85    -5.83   -47.14     0.049
  -15.93     4.95   -24.63       -15.93     5.00   -24.62     0.053
   -2.43    20.31    42.75        -2.49    20.42    42.79     0.127
  -16.50    -1.52    -2.46       -16.54    -1.51    -2.45     0.043
   23.29    20.26     1.66        23.28    20.18     1.65     0.085
  -12.02    -9.61   -47.94       -12.02    -9.61   -47.90     0.040
   13.30    20.56    29.99        13.30    20.61    29.99     0.048
  -22.76     4.95   -40.25       -22.75     4.88   -40.19     0.095
   14.53   -12.37   -17.16        14.52   -12.38   -17.17     0.022
    4.52   -11.39   -21.54         4.51   -11.37   -21.54     0.020
   -5.17     8.48    -7.54        -5.15     8.45    -7.53     0.036
  -12.90   -22.11   -16.49       -12.88   -22.08   -16.54     0.056
  -27.58    -9.70   -46.52       -27.60    -9.71   -46.58     0.073
   23.73   -10.59   -23.76        23.77   -10.70   -23.76     0.114
   27.80     1.14    36.67        27.71     1.19    36.64     0.114
   32.38     6.12   -14.80        32.49     6.13   -14.84     0.110
   12.60    -1.68    71.35        12.59    -1.67    71.38     0.033
   -6.72   -10.79    -7.38        -6.75   -10.92    -7.33     0.142
   -5.60     3.69   -25.33        -5.60     3.72   -25.33     0.028
   21.56     5.49    71.29        21.56     5.49    71.29     0.002
  -11.24   -26.97   -35.83       -11.25   -26.92   -35.82     0.048
   10.99    12.07   -23.31        10.93    12.09   -23.30     0.063
   20.45    -1.53   -24.81        20.48    -1.50   -24.78     0.052
   24.41    15.78    68.66        24.33    15.77    68.65     0.085
   28.20    -8.39   -21.33        28.21    -8.40   -21.34     0.013
   31.96    17.18     2.22        31.94    17.15     2.22     0.030
   11.39    14.84   -19.87        11.34    14.88   -19.90     0.068
   18.42    20.27     6.31        18.43    20.32     6.31     0.047
    0.30    -5.48    34.61         0.35    -5.55    34.63     0.088
