150 PA5-C-Debug-Answer.txt 6
  127.5566    8.9479  -76.4181   75.5808   43.4557   -9.1473
   33.76     8.26    10.06        33.76     8.26    10.06     0.000
    4.84    19.99    43.71         4.84    19.99    43.71     0.000
   13.69    21.42   -23.72        13.69    21.42   -23.72     0.000
    9.63    -6.66    18.18         9.63    -6.66    18.18     0.000
  -19.75    12.50    24.56       -19.75    12.50    24.56     0.000
   10.08    22.68    64.73        10.08    22.68    64.73     0.000
   14.18    -6.68    19.82        14.18    -6.68    19.82     0.000
   20.22    -8.50     9.31        20.22    -8.50     9.31     0.000
   26.69    20.92   -20.64        26.69    20.92   -20.64     0.000
  -22.31    -0.09   -46.35       -22.31    -0.09   -46.35     0.000
  -30.97   -26.74   -23.20       -30.97   -26.74   -23.20     0.000
   13.32    24.38    -3.74        13.32    24.38    -3.74     0.000
  -21.04   -29.86   -33.51       -21.04   -29.86   -33.51     0.000
  -15.48     4.86    20.17       -15.48     4.86    20.17     0.000
  -15.91    16.14    24.09       -15.91    16.14    24.09     0.000
   18.99    24.50    -8.89        18.99    24.50    -8.89     0.000
   10.32    14.19   -26.79        10.32    14.19   -26.79     0.000
   20.97    11.84    60.98        20.97    11.84    60.98     0.000
  -25.84    11.21   -30.64       -25.84    11.21   -30.64     0.000
  -40.25    -0.01   -29.95       -40.25    -0.01   -29.95     0.000
   29.08    -6.35     7.31        29.08    -6.35     7.31     0.000
  -24.85   -11.96    -5.63       -24.85   -11.96    -5.63     0.000
   -4.22    -2.58   -40.53        -4.22    -2.58   -40.53     0.000
  -37.18   -20.44   -21.22       -37.18   -20.44   -21.22     0.000
   14.50    24.50    -6.65        14.50    24.50    -6.65     0.000
  -11.97   -25.10   -11.90       -11.97   -25.10   -11.90     0.000
   37.87     2.40     6.80        37.87     2.40     6.80     0.000
  -10.70     5.11    37.11       -10.70     5.11    37.11     0.000
  -13.88   -29.29   -33.51       -13.88   -29.29   -33.51     0.000
   -4.54     1.30    68.77        -4.54     1.30    68.77     0.000
