150, pa5-A-Output.txt, 6 
 30.0413  136.6801   47.0160  -172.2492   23.5330  -44.8431
   27.48     -3.41     -2.36       27.72     -3.57     -2.36     0.289
   16.34     25.00     14.94       16.34     25.35     15.18     0.424
   16.43     14.70     51.20       15.65     14.37     51.03     0.870
    6.46     -2.50    -22.51        6.19     -2.50    -22.30     0.346
   23.37      9.32     18.95       23.33      9.35     18.92     0.054
   -1.75     22.91     25.86       -1.89     23.09     25.78     0.240
  -18.48    -33.22    -23.61      -18.45    -33.39    -23.59     0.170
    8.24     -2.42    -22.56        8.30     -2.40    -22.43     0.146
   15.07     12.04     65.26       15.32     12.01     65.31     0.264
   24.18     21.97     13.10       24.55     22.38     13.27     0.573
    3.92     -7.80     22.95        3.95     -8.38     23.14     0.611
    7.23      5.51     68.12        7.30      5.51     68.12     0.064
   19.79     25.84     -6.57       19.75     25.92     -6.68     0.144
   -2.53      4.60     60.54       -2.23      4.60     60.53     0.299
    4.65      7.35    -16.35        4.74      7.94    -16.64     0.666
  -15.07      6.82    -43.35      -15.11      6.47    -43.07     0.453
   22.62     24.57     10.73       22.30     24.09     10.51     0.618
  -45.86     -5.40    -25.07      -45.03     -5.69    -25.12     0.882
    9.74     22.33     13.38        9.74     22.34     13.38     0.007
   27.98     16.78    -23.82       27.96     16.76    -23.80     0.034
   13.10     -3.38     21.04       13.21     -3.52     21.11     0.183
   14.50     17.36     58.91       14.66     17.40     58.96     0.174
   19.22      9.76    -24.26       19.09     10.16    -24.04     0.473
   25.58     20.97      9.52       26.43     21.06      9.48     0.849
   -2.37    -16.63    -34.75       -2.34    -16.62    -34.75     0.031
    1.00    -19.44    -26.35        1.26    -19.50    -26.46     0.289
  -44.79     -8.06    -17.81      -44.77     -8.07    -17.86     0.045
  -24.67    -19.41     -8.65      -24.66    -19.26     -8.40     0.290
   15.33     24.02     17.19       15.35     23.91     17.18     0.116
  -38.65      4.10    -36.00      -38.81      4.48    -36.12     0.431
  -31.29      1.49    -46.55      -31.38      1.61    -46.69     0.210
  -42.58     -2.27    -41.00      -42.90     -2.05    -41.15     0.420
   14.60     -4.02     16.32       14.60     -4.02     16.32     0.003
   26.45      6.11    -30.43       26.56      5.72    -31.01     0.701
   17.41      1.04    -23.35       17.59      1.09    -23.65     0.354
  -43.93    -19.38    -36.29      -44.04    -19.24    -36.25     0.181
  -17.30     -7.81     -5.58      -17.19     -8.04     -5.89     0.395
   -6.10     18.68     27.36       -6.49     19.23     27.38     0.676
    8.36     -4.82     29.80        8.45     -4.95     29.81     0.163
    2.24     -2.71    -25.24        2.62     -2.72    -25.70     0.590
  -12.69    -30.00    -40.29      -13.03    -29.41    -40.10     0.710
  -20.26    -32.82    -19.38      -20.07    -33.26    -19.27     0.483
   -7.81      4.28    -12.47       -7.67      4.10    -12.59     0.255
   15.08     23.57     -1.63       15.00     23.62     -1.67     0.112
   11.70     17.26     67.65       11.61     17.18     67.30     0.366
   20.92     10.88    -23.80       20.87     10.08    -24.25     0.923
   -8.42      7.19    -21.81       -8.33      7.32    -21.81     0.164
    2.01    -10.71      5.03        2.24     -9.75      4.77     1.028
   34.08     11.78     -0.81       34.15     11.81     -0.81     0.074
   -7.90      1.51      0.21       -8.40      2.15      0.59     0.896
   -2.26      3.69     49.60       -1.87      3.66     49.85     0.467
   -8.94     -0.46    -39.02       -8.87     -0.43    -39.06     0.082
   -6.57     13.26     31.71       -6.69     13.12     31.66     0.184
   15.58      5.89    -21.88       16.06      5.55    -21.61     0.652
  -31.75    -24.03    -48.34      -31.86    -24.25    -48.65     0.396
   33.79     12.39     -8.57       33.12     12.17     -8.51     0.711
  -20.25     -1.60    -50.59      -20.27     -1.45    -50.75     0.217
  -23.08    -12.08     -7.83      -23.30    -11.99     -7.69     0.279
  -45.87    -13.33    -35.57      -46.02    -13.12    -35.79     0.340
    4.81     -3.67    -23.51        4.70     -3.64    -23.52     0.114
    7.56     21.41     13.43        7.54     21.45     13.42     0.040
  -31.12    -25.16    -10.22      -30.93    -25.13    -10.36     0.241
    5.22     -3.62     69.43        5.12     -3.68     69.68     0.281
   16.11     19.85     -5.24       16.10     19.83     -5.22     0.032
  -37.33    -30.53    -30.69      -37.59    -30.82    -30.70     0.392
  -21.27    -10.16    -52.72      -21.35     -9.98    -52.19     0.556
    0.79     -3.37     38.86        1.34     -2.90     38.99     0.732
   33.41      0.22     -9.91       33.40      0.55     -9.92     0.338
   26.41     20.54      8.52       26.45     20.53      8.54     0.049
  -22.49    -22.05     -8.59      -22.53    -22.28     -8.97     0.442
   -1.40      7.28     32.55       -1.58      7.37     32.27     0.344
  -20.97     -9.19    -52.64      -20.97     -9.18    -52.41     0.224
  -19.78    -17.45    -52.21      -19.82    -17.58    -52.43     0.262
  -20.45     -1.13    -50.27      -20.46     -1.04    -50.37     0.129
    5.07     14.01     52.36        4.67     14.40     52.41     0.566
  -37.47     -1.36    -12.92      -37.21     -1.98    -13.65     0.997
  -28.94     -5.87    -51.79      -28.90     -5.96    -51.63     0.193
   21.13     18.53     29.40       20.88     18.44     29.35     0.269
  -28.58    -32.54    -40.04      -28.66    -32.72    -40.12     0.217
    1.44     -4.60     63.00        1.63     -4.19     63.02     0.453
   27.27     16.65    -24.65       27.28     16.62    -24.61     0.044
  -11.22    -27.47    -41.86      -11.19    -27.23    -41.79     0.250
  -20.90     11.91    -28.89      -20.88     12.46    -28.82     0.563
  -32.08    -33.93    -29.89      -31.99    -33.71    -29.87     0.241
  -31.27      8.77    -34.89      -31.19      8.48    -34.83     0.306
   34.08     14.09    -15.45       33.86     14.01    -15.51     0.246
  -34.47    -32.69    -28.16      -34.53    -32.84    -28.17     0.163
   22.52     11.91    -26.57       22.36     11.40    -26.98     0.677
   17.15      6.52     56.75       17.02      6.54     56.74     0.127
  -14.71     -6.65     -3.59      -14.36     -6.38     -3.95     0.570
   20.37     24.58    -12.45       20.31     24.69    -12.42     0.129
   16.31      2.97     62.81       15.90      3.07     62.77     0.431
  -23.49    -34.61    -28.96      -23.47    -34.21    -28.98     0.402
  -12.48      4.72    -42.14      -12.34      4.86    -42.24     0.223
   21.63    -11.39    -11.54       20.79    -11.02    -11.43     0.928
  -16.32      7.30    -43.43      -16.19      6.49    -42.93     0.966
  -15.74    -24.62    -10.99      -15.43    -24.99    -10.70     0.562
  -34.97    -26.00    -15.17      -34.93    -26.02    -15.15     0.044
    4.43      7.87    -15.05        4.40      8.51    -14.99     0.637
   -0.37     -6.87     16.89       -0.34     -6.74     16.85     0.143
   20.53     -8.94    -17.99       20.07     -8.43    -17.48     0.853
   32.17     12.25    -22.25       31.88     12.31    -22.37     0.326
   -7.79      1.04    -35.12       -7.72      1.04    -35.14     0.067
   13.12     -3.68     20.00       13.36     -3.86     20.08     0.307
   11.43     -1.50     36.44       11.78     -2.41     36.50     0.976
    3.74    -10.34      9.18        3.92     -9.82      9.18     0.547
   13.02      2.63     68.17       13.02      2.63     68.12     0.049
   11.20      4.64    -17.58       10.86      5.39    -18.05     0.951
  -11.12      7.48    -21.86      -11.16      6.93    -22.01     0.566
  -27.28    -33.92    -21.59      -27.26    -34.04    -21.59     0.117
   10.29     -4.00     26.95       10.26     -3.96     26.94     0.047
  -45.48    -18.01    -31.49      -45.33    -17.97    -31.38     0.188
   22.53     25.68     -3.19       22.52     26.10     -3.23     0.424
   21.65     13.92    -27.34       21.61     13.70    -27.81     0.515
  -25.53    -10.65    -53.62      -25.71    -10.71    -52.85     0.792
    7.26      5.63     68.08        7.30      5.62     68.08     0.040
  -15.62      2.98    -46.10      -15.57      3.00    -46.23     0.146
  -21.39    -12.37    -52.72      -21.77    -12.57    -51.92     0.906
  -40.70    -23.79    -40.15      -40.74    -23.80    -40.17     0.047
   23.14     23.58    -21.10       22.94     23.27    -20.98     0.387
   -5.91      3.10     -5.58       -5.92      3.11     -5.58     0.014
   -1.43      7.04     31.10       -1.17      7.22     31.18     0.329
   20.74      2.04     21.31       21.19      1.54     21.41     0.681
   -8.30      6.96    -20.88       -8.29      7.00    -20.86     0.042
   26.15     16.42     14.37       25.74     16.23     14.25     0.461
  -23.82      9.87    -38.45      -23.86     10.04    -38.50     0.186
   32.66     17.89    -14.52       33.30     18.32    -14.02     0.923
   19.66     13.70    -21.72       20.46     13.73    -21.50     0.825
  -21.47     -6.85    -52.27      -21.51     -7.15    -51.75     0.598
  -25.88    -34.22    -23.38      -25.90    -34.11    -23.41     0.115
  -12.92    -31.88    -33.13      -13.10    -31.37    -33.06     0.547
   16.63      3.34     61.97       16.12      3.50     61.91     0.540
  -13.07    -29.84    -16.92      -13.03    -30.00    -16.83     0.191
  -40.79    -26.11    -35.77      -41.23    -26.29    -35.80     0.476
   13.69    -11.93      2.52       13.71    -11.96      2.54     0.043
   -1.95     13.53     37.20       -2.69     13.11     37.40     0.873
   25.53     -2.56     12.19       25.35     -2.28     12.11     0.338
   16.27     -0.24     29.18       16.69     -0.86     29.19     0.753
  -39.38    -19.99    -13.70      -39.32    -19.96    -13.75     0.087
   15.74     -1.89     22.73       16.18     -2.67     22.87     0.916
   28.99      0.16    -29.39       29.10      0.41    -29.24     0.312
  -23.83     10.02    -21.42      -23.85      9.98    -21.58     0.159
  -38.47     -0.60    -44.88      -38.43     -0.47    -44.98     0.165
   10.63     -2.40     31.03       10.65     -2.91     31.19     0.540
   30.07     11.31    -30.74       30.04     11.28    -30.69     0.062
   -0.35     -5.89    -28.48        0.12     -6.22    -28.79     0.651
  -36.09    -17.02    -49.62      -36.33    -17.02    -49.90     0.371
   13.27     13.07     68.43       13.12     13.01     68.22     0.267
    7.84     16.78     47.77        7.83     16.78     47.77     0.012
  -30.78    -34.12    -32.27      -30.75    -34.06    -32.27     0.066
