150, pa5-B-Output.txt, 6 
-117.7841  163.0214   38.1996  -163.4942    3.6222  110.6959
   -4.23     -8.89    -28.79       -3.95     -9.07    -28.86     0.336
   28.23     -2.06      9.85       28.18     -1.81      9.87     0.259
    4.04     -9.82     22.95        4.08     -9.95     22.96     0.137
    5.59     17.35     52.58        5.58     17.35     52.57     0.012
   -0.03      8.71      7.40        0.04      8.66      7.37     0.087
   11.28     22.26     49.13       11.17     21.67     49.38     0.653
   21.16     22.48    -22.71       22.18     22.51    -22.91     1.040
    2.21     -9.03     54.54        2.39     -8.38     54.49     0.676
   15.43     24.22     32.48       15.34     24.00     32.58     0.249
   12.27     -3.97    -19.29       12.29     -4.03    -19.36     0.097
    7.37    -14.82     -1.32        7.25    -14.05     -0.99     0.853
   21.84     25.92      3.72       22.11     26.30      3.74     0.468
   16.78      0.56     46.18       17.26      0.24     46.28     0.589
  -36.82    -23.72    -43.68      -36.85    -23.79    -43.76     0.114
   -0.81    -10.54     26.80       -0.81    -10.53     26.80     0.015
    6.72    -14.06      0.06        6.74    -14.39      0.11     0.336
  -31.22      7.03    -31.58      -31.42      7.41    -31.64     0.431
  -23.62    -24.85    -13.19      -23.65    -25.09    -12.94     0.357
   14.74     -4.96     15.61       14.74     -4.94     15.58     0.039
   12.94     16.19     60.23       12.83     16.35     59.98     0.319
   31.66     14.16      7.47       31.82     14.16      7.49     0.165
  -26.96    -24.41    -49.21      -26.98    -24.33    -49.09     0.149
  -28.43    -27.67    -11.91      -28.40    -27.67    -11.93     0.033
    8.75     21.58     50.29        8.50     21.44     50.41     0.311
    3.48     13.28     38.41        3.35     13.34     38.45     0.149
   10.08     -4.26     52.66       10.02     -4.10     52.67     0.168
    2.01      8.62    -16.69        1.95      8.83    -16.73     0.223
    1.52     -9.41    -21.33        1.52     -9.43    -21.34     0.019
    2.69      4.06     53.64        2.83      4.05     53.64     0.133
  -17.33    -24.41    -48.42      -17.29    -24.51    -48.57     0.183
   10.79     13.29     61.29       10.65     13.22     61.10     0.247
  -21.33     -3.59    -51.15      -21.46     -3.75    -51.42     0.336
   15.54     23.04     36.12       15.52     23.02     36.11     0.024
    5.28      8.58    -15.11        5.27      8.71    -15.24     0.188
  -24.69    -15.55    -51.72      -24.80    -15.56    -51.53     0.226
   20.64     20.28     51.54       20.43     19.95     51.29     0.466
  -42.66    -23.70    -25.15      -42.31    -23.39    -25.30     0.497
   24.55      6.88     25.06       25.11      6.59     25.44     0.736
   -4.59     -1.74     18.24       -4.60     -1.74     18.24     0.015
   -0.68     -6.24     40.37       -0.40     -6.26     40.35     0.274
   26.66     19.80    -19.01       26.32     18.85    -18.66     1.066
    4.86     22.27     43.07        5.08     22.17     43.00     0.255
   13.43    -13.82     -6.02       13.30    -14.18     -6.37     0.512
  -10.72     -2.94      4.67      -10.16     -3.27      4.30     0.745
    1.02     17.55     38.02        0.94     17.55     38.03     0.077
   23.05     24.76      0.67       23.31     25.22      0.40     0.600
   28.32     20.13    -14.95       28.18     20.00    -14.89     0.195
   21.50     -7.22     24.83       21.97     -7.27     24.70     0.485
  -38.72     -0.46    -40.84      -39.27     -0.20    -40.75     0.617
   18.10     24.09    -12.88       17.70     24.55    -12.87     0.610
    3.25      9.33     39.98        3.88      9.23     40.15     0.661
    4.51      2.48     62.85        4.63      2.45     62.62     0.262
  -39.85    -14.73    -45.73      -40.34    -14.65    -45.95     0.547
   33.31      6.24      0.28       32.67      6.05      0.45     0.682
   15.29      3.92    -20.53       15.12      3.95    -20.89     0.395
   11.89     21.07     -0.40       12.44     20.86     -0.21     0.622
  -28.17    -34.35    -28.51      -28.26    -34.97    -28.54     0.628
    8.76     19.08      3.82        8.43     19.35      3.84     0.419
   26.43     -1.25    -16.90       26.70     -1.93    -17.03     0.741
