150, pa5-D-Output.txt, 6 
114.0399   89.6852   53.4061   49.9667   -4.1371  -61.5812
  -11.49    -16.64     -7.51      -11.49    -16.58     -7.54     0.063
   34.21     -6.05    -14.58       34.06     -5.82    -14.69     0.292
    4.94    -14.30    -27.76        4.75    -14.28    -27.68     0.208
    9.29     21.35     12.15        9.42     21.03     12.11     0.343
   -2.46     13.80     65.81       -2.50     13.64     65.87     0.174
   37.92      4.43    -14.61       37.99      4.42    -14.65     0.074
   26.59     13.98    -24.52       26.57     13.96    -24.51     0.020
   -7.11      8.55     68.54       -6.78      8.36     68.56     0.385
  -31.99    -15.51    -10.24      -31.97    -15.49    -10.35     0.117
   -7.92     -9.38      1.38       -7.99     -9.63      1.52     0.296
    9.67     -2.96     28.89        9.91     -3.48     28.94     0.575
   16.38     -3.02     46.30       16.37     -2.69     46.33     0.334
   14.74     20.71    -19.27       14.57     21.19    -19.43     0.542
  -27.90    -16.45    -48.99      -27.74    -16.42    -48.74     0.292
   19.23    -15.42    -11.60       19.24    -15.45    -11.59     0.033
   36.49     12.16      2.77       36.18     11.83      2.76     0.449
   20.21     15.50     42.38       20.16     15.33     42.41     0.183
   28.48     17.68    -19.08       28.65     17.79    -19.04     0.202
   18.73     23.43      1.84       18.72     23.15      1.84     0.286
   15.82     -5.34    -24.88       15.76     -5.38    -24.60     0.296
  -35.27    -23.38    -19.10      -35.38    -23.68    -18.90     0.378
   34.72      0.15    -25.20       34.96     -0.07    -25.34     0.349
    3.49     -1.72    -24.75        3.46     -1.77    -24.71     0.079
   35.39     11.51    -10.62       35.58     11.78    -10.69     0.338
   -6.68      0.97     36.59       -6.97      0.68     36.69     0.427
   -6.50    -15.77     -6.86       -6.48    -16.12     -6.43     0.555
   25.61     21.06     -3.85       25.62     21.07     -3.85     0.018
   -4.42    -17.01    -41.40       -4.43    -17.02    -41.45     0.058
   15.07     -8.58      7.73       15.09     -8.73      7.83     0.182
   10.97     -6.66    -24.13       10.81     -6.83    -24.75     0.657
   22.42     22.27      4.82       22.50     22.40      4.87     0.150
  -30.33     -1.36    -47.10      -30.46     -1.21    -47.33     0.303
   10.77     10.44     70.52       10.87     10.48     70.42     0.141
   37.17      1.48     -2.42       37.35      1.44     -2.42     0.187
   31.47     11.34    -22.32       31.40     10.88    -22.20     0.486
   20.07     -7.54      5.25       20.49     -8.41      5.61     1.030
    1.85     15.75      4.15        1.92     15.68      4.19     0.114
    5.14     -1.94     44.37        5.25     -1.79     44.36     0.187
    4.50     11.72     -5.52        3.89     12.20     -5.86     0.846
  -20.79    -12.69    -50.60      -20.75    -12.68    -50.30     0.304
  -24.03      7.33    -16.78      -24.06      7.17    -17.16     0.415
   10.80     -2.57     31.64       10.72     -2.95     31.76     0.413
   25.07     -0.73     34.19       24.28     -0.32     34.06     0.904
   -0.15     -0.11    -25.57        0.01     -0.09    -25.64     0.185
   -2.89      0.09     47.19       -2.86      0.26     47.08     0.205
   31.02      4.85    -28.69       31.29      4.91    -28.81     0.298
    5.73     18.76      3.74        5.61     18.99      3.70     0.265
    9.19     -4.82     20.35        9.66     -5.26     20.64     0.709
   11.89    -12.80    -19.05       11.90    -12.72    -19.04     0.077
  -25.40     -8.98     -8.72      -25.40     -9.00     -8.79     0.079
   27.01     20.30     -3.09       26.87     20.22     -3.03     0.175
   -3.25    -23.71    -27.76       -3.66    -23.54    -27.85     0.453
  -10.89    -27.90    -23.04      -10.91    -27.85    -23.06     0.066
   21.49     13.22     53.64       22.19     13.46     53.70     0.750
  -34.44    -15.58    -11.99      -34.44    -15.58    -11.98     0.007
