400, pa5-E-Output.txt, 6 
109.7555  117.0100   56.0421   96.4560   26.6269  125.6033
   -5.29      8.66     -5.90       -5.06      8.30     -5.89     0.428
    0.33     14.88     -0.81        0.19     15.20     -1.01     0.400
  -30.69     -5.56    -16.42      -31.08     -5.29    -16.00     0.626
  -32.41      1.42    -38.29      -32.53      1.54    -38.32     0.169
   -8.45    -20.60    -20.52       -8.54    -20.75    -20.57     0.179
   37.75     -2.05      7.65       37.93     -2.45      7.50     0.456
  -15.53     -9.91    -48.42      -15.52     -9.84    -48.43     0.068
  -20.30    -12.23    -47.74      -20.11    -11.97    -47.16     0.662
   -5.42     21.26     20.30       -5.56     21.59     20.03     0.456
   18.75      2.74    -27.10       18.82      2.77    -27.04     0.090
   -8.92     11.97     36.64       -9.01     11.90     36.69     0.124
  -23.40    -28.17    -38.16      -23.33    -28.11    -38.10     0.104
   -3.03    -13.72    -27.24       -3.20    -13.52    -27.19     0.268
  -11.67     -7.34      5.50      -11.67     -7.22      5.49     0.114
   23.11     18.03     34.49       23.85     18.29     34.82     0.855
   33.79     12.08     -4.45       33.63     12.20     -4.34     0.226
  -17.68    -25.88    -42.41      -17.72    -25.45    -42.04     0.567
   18.66     16.74    -27.00       18.66     16.76    -27.17     0.176
   25.32     -5.39     13.11       25.26     -5.78     13.30     0.437
  -31.84    -18.70    -14.19      -31.39    -18.61    -14.75     0.726
  -10.08    -22.95    -41.41      -10.31    -22.93    -41.36     0.238
  -10.65     11.69     35.93      -10.68     11.78     35.80     0.160
   14.62     -2.52     39.32       14.67     -1.89     39.30     0.634
  -18.77    -17.66    -48.10      -18.76    -17.66    -48.12     0.022
   40.37      4.19      2.50       40.64      4.10      2.43     0.296
   26.22      6.58     51.17       26.74      6.49     51.26     0.533
   -0.90     -1.83    -26.54       -1.11     -1.87    -26.51     0.212
   14.23      1.40    -18.47       14.19      1.42    -18.61     0.142
  -32.14    -18.51    -14.66      -31.82    -18.44    -15.07     0.524
  -37.19    -12.91    -19.54      -37.59    -12.79    -19.18     0.553
   -5.99     22.57     23.67       -6.03     23.18     23.48     0.643
   -2.80     -7.29    -41.66       -2.95     -7.38    -41.62     0.185
   28.95      8.55     34.70       28.26      8.18     34.73     0.786
   37.24     -3.67     12.62       37.22     -3.61     12.63     0.065
   -6.05    -17.69    -33.68       -6.11    -17.66    -33.65     0.078
    5.04     10.08    -13.00        4.97     10.00    -12.75     0.275
   15.77     12.76    -29.89       15.83     12.55    -29.85     0.225
  -24.14      4.53    -18.09      -24.24      4.13    -18.52     0.594
  -32.82      1.54    -37.50      -32.76      1.49    -37.49     0.080
   28.24     -8.42    -21.11       28.22     -8.43    -21.09     0.028
   25.27      7.06     59.57       25.10      7.18     59.57     0.206
   -6.54    -17.50    -27.34       -6.75    -17.43    -27.41     0.226
   -4.75      6.04     58.24       -4.63      6.02     58.24     0.124
   -4.90      5.83     60.01       -4.61      5.78     60.00     0.302
    6.15     -7.83    -24.72        6.16     -7.37    -24.63     0.462
   -7.83     -3.34     45.61       -7.03     -3.20     45.40     0.841
   -9.63    -13.41    -47.09       -9.68    -13.38    -47.00     0.102
   -5.46     -4.81     45.57       -5.29     -4.49     45.47     0.381
  -26.69    -28.11    -35.14      -26.33    -27.70    -34.93     0.590
   -6.94      3.57    -27.30       -6.83      3.89    -27.10     0.392
  -37.90    -12.73    -41.36      -38.01    -12.72    -41.39     0.109
   28.37      8.35    -23.43       28.49      8.37    -23.46     0.124
  -39.08     -2.93    -25.75      -39.01     -2.67    -25.36     0.480
