400, pa5-F-Output.txt, 6 
-18.6681   28.0931  -23.5222  -44.0167  -66.6875   37.8809
   27.14     12.75     22.34       27.26     12.78     22.36     0.120
  -41.32    -19.53    -22.42      -41.52    -19.62    -22.38     0.227
  -26.12    -13.51     -6.08      -26.12    -13.54     -6.18     0.103
  -29.52    -31.04    -19.93      -29.82    -31.45    -19.84     0.511
  -15.61    -25.66    -43.97      -15.63    -25.62    -43.92     0.067
  -38.41    -12.82    -37.43      -38.39    -12.81    -37.41     0.024
   18.40    -16.75    -11.27       18.50    -17.11    -11.28     0.370
   12.97    -12.78    -18.81       13.02    -12.68    -18.71     0.142
    5.70    -16.55    -10.11        5.82    -16.94    -10.05     0.413
    3.85      8.55    -15.46        3.91      8.66    -15.55     0.160
  -17.53      8.36    -19.09      -17.54      8.59    -18.99     0.251
   11.45     -6.93     26.01       11.46     -7.18     26.01     0.245
  -22.37      9.65    -37.00      -22.40      9.75    -37.02     0.102
  -17.21    -14.11    -49.25      -17.21    -14.10    -49.24     0.021
   20.45    -16.11    -12.24       20.58    -16.44    -12.28     0.358
   21.34     11.64     55.07       20.96     11.51     55.04     0.398
    4.64     12.35     62.47        4.64     12.38     62.63     0.161
   20.32     18.49    -27.74       20.40     18.56    -27.85     0.154
   -2.77     -4.89     62.57       -2.77     -4.89     62.61     0.035
    5.60    -10.42    -22.56        5.63    -10.44    -22.60     0.044
   20.59     12.76     55.36       20.52     12.75     55.37     0.077
   15.42     -4.96     51.76       15.66     -5.28     51.79     0.394
  -13.36     20.98     24.55      -13.46     21.02     24.53     0.109
   23.62     -8.03     12.45       23.57     -8.20     12.48     0.180
   25.08     -1.93    -29.01       25.19     -1.98    -29.13     0.170
   27.99     21.49    -10.60       27.99     21.50    -10.60     0.006
  -42.79     -5.11    -31.13      -42.81     -5.11    -31.13     0.019
  -39.22    -15.61    -37.07      -39.16    -15.69    -36.97     0.136
   -3.02     12.62      1.41       -3.17     12.78      1.37     0.224
   20.62     26.15    -10.10       20.70     26.33    -10.11     0.198
   27.54     13.95    -26.20       27.69     14.08    -26.34     0.245
   34.72      5.55    -16.13       34.72      5.55    -16.13     0.004
  -23.83    -33.59    -30.42      -23.80    -33.49    -30.37     0.111
   -9.10     -6.86     13.35       -8.80     -6.75     13.26     0.333
  -19.25    -32.87    -34.72      -19.30    -32.50    -34.48     0.448
    8.16     -8.37     59.79        8.23     -8.50     59.77     0.146
  -12.10     18.05     31.88      -12.12     18.01     31.88     0.039
   17.66     15.79    -30.27       17.64     15.78    -30.20     0.070
   15.53    -12.09    -19.90       15.60    -12.04    -19.82     0.116
  -10.15    -14.04    -47.72      -10.25    -13.99    -47.61     0.163
   29.52     -9.08    -20.90       29.55     -9.13    -20.94     0.066
   35.35      0.97      9.38       35.15      0.92      9.16     0.298
  -24.81      0.51    -45.20      -24.81      0.51    -45.19     0.009
   32.04     16.71      7.05       32.13     16.77      7.09     0.113
  -29.32    -23.11     -8.50      -29.38    -23.15     -8.31     0.197
   27.18     21.58    -18.64       27.37     21.73    -18.75     0.261
  -39.00     -4.84    -14.57      -38.89     -4.91    -14.66     0.155
    4.47     25.65      8.24        4.55     25.42      8.31     0.258
    0.26    -19.94    -31.10        0.28    -19.94    -31.10     0.021
   10.66     -7.19     47.08       10.63     -6.91     47.09     0.286
   32.18     -1.62    -21.41       32.21     -1.64    -21.44     0.036
  -39.00     -5.82    -13.88      -38.90     -5.89    -13.96     0.139
   -0.31     16.00      2.79       -0.48     16.11      2.72     0.216
   -4.87      0.28    -37.01       -4.76      0.33    -37.06     0.127
  -15.18     -5.46    -48.16      -15.16     -5.49    -48.01     0.152
   -1.71      7.13    -19.67       -1.69      7.22    -19.72     0.107
   11.68     24.07    -13.21       11.43     24.28    -13.31     0.344
  -33.10    -17.27     -8.44      -33.09    -17.18     -8.52     0.117
   -4.24    -14.61     -1.86       -4.31    -14.23     -1.99     0.405
  -25.24      0.99    -13.23      -25.06      0.73    -13.43     0.380
