150, pa5-G-Output.txt, 6 
-77.0261  -136.3151  -95.0636  140.2193  -79.8817  -129.0578
  -35.63      8.30    -30.49      -34.87      7.49    -30.54     1.112
   10.36     -6.86    -21.85       10.07     -6.75    -21.11     0.797
   -5.63     -8.29     13.12       -5.59     -8.27     13.13     0.048
  -34.21      9.15    -32.06      -33.72      8.50    -31.83     0.848
   -4.50     10.18    -20.61       -4.16     10.59    -20.84     0.586
   -2.44      8.27    -17.10       -2.44      8.18    -17.06     0.096
   30.25     -4.95    -27.40       30.35     -4.96    -27.61     0.231
   42.41      9.63    -11.78       42.46      9.63    -11.79     0.050
  -12.53     23.96     39.49      -12.60     23.79     39.48     0.186
    9.56     -9.13     28.04        9.65     -9.05     28.06     0.123
   23.24     -1.95     51.27       23.52     -2.55     51.09     0.686
   25.56     -7.39     31.39       24.92     -6.90     31.39     0.815
    4.53     -6.58    -27.47        4.92     -6.37    -27.63     0.468
  -14.38      3.79     28.29      -14.60      3.52     28.35     0.359
  -18.02    -22.32    -43.46      -18.02    -22.68    -44.04     0.688
   -2.12     21.51     38.10       -2.14     21.62     38.09     0.109
    3.67      1.28     54.38        3.74      1.26     54.20     0.198
  -10.22     25.16     23.87      -10.25     24.97     23.92     0.202
   33.86      7.97    -24.75       33.64      8.02    -24.59     0.273
   19.03    -19.50    -17.74       19.23    -18.72    -17.45     0.861
  -16.54     10.01    -40.10      -16.44      9.93    -39.74     0.374
  -15.61    -32.68    -18.95      -15.67    -32.79    -18.93     0.125
   -4.35     -4.17     36.71       -4.55     -4.18     36.57     0.241
  -11.47     -2.13     21.97      -11.94     -2.56     21.94     0.638
  -11.21     15.73     50.01      -11.24     15.74     50.01     0.029
    6.56      7.15     55.63        6.99      7.53     56.45     1.001
    1.78     23.49     30.77        1.77     23.39     30.74     0.106
  -34.44     -2.14     -7.21      -34.44     -2.14     -7.21     0.004
   20.67     -5.18    -25.51       20.72     -5.15    -25.48     0.071
    9.75     -9.07     29.65        9.61     -9.24     29.65     0.226
   29.92     15.80    -23.63       29.72     15.78    -23.55     0.216
  -18.81    -13.36     -0.01      -18.67    -12.88     -1.21     1.300
  -14.80     11.84      0.66      -14.86     11.59      0.94     0.379
    9.04     -9.02     34.59        8.94     -9.19     34.59     0.189
  -30.51    -26.51    -14.23      -30.86    -26.99    -14.23     0.594
   -7.48     -6.20     18.33       -7.35     -6.11     18.30     0.163
  -37.02     -3.17     -9.27      -37.32     -3.30     -9.07     0.380
   42.82      2.89     -3.82       42.43      2.95     -3.84     0.396
   -2.00      7.27     53.70       -1.99      7.33     53.87     0.181
   -0.37     22.89     -2.40       -0.25     22.82     -2.41     0.147
   33.45     11.00     13.81       33.35     10.58     13.53     0.517
   30.51     11.75     19.08       29.80     11.76     18.33     1.030
   -1.44      0.45    -31.97       -1.37      0.53    -31.96     0.099
  -15.89     -5.52      6.33      -15.27     -5.14      5.96     0.820
   29.59     -5.56     16.58       29.60     -5.58     16.58     0.017
   -7.99     -0.06     41.23       -7.95     -0.04     41.26     0.053
   34.98      8.16    -23.29       34.99      8.16    -23.24     0.047
   -1.54    -24.97     -6.59       -1.63    -24.68     -6.67     0.311
   22.18     -5.28     50.54       21.57     -5.02     50.36     0.690
  -23.08     -3.62      0.34      -22.95     -3.69      0.29     0.158
  -39.76    -13.62    -15.45      -40.00    -13.70    -15.42     0.255
  -32.68    -26.18    -15.89      -32.65    -26.13    -15.89     0.050
   -5.64     12.05    -10.21       -5.82     11.74    -10.16     0.360
  -20.36    -29.64    -11.42      -20.73    -30.14    -10.84     0.846
    5.40    -14.66      5.40        5.27    -15.09      5.62     0.498
   30.90    -16.12    -10.45       30.84    -15.63    -10.54     0.500
   -6.77     -1.86     39.58       -6.73     -1.88     39.62     0.062
  -32.50     13.09    -20.58      -32.54     13.11    -20.56     0.055
   30.17     -4.60     18.09       30.45     -4.70     18.11     0.296
   14.12    -14.52      5.61       14.25    -13.98      5.15     0.717
   -9.02     19.08      9.60       -8.81     18.71      9.71     0.438
   21.45    -19.31    -19.64       21.79    -18.79    -19.26     0.730
   31.30    -14.03    -25.07       31.29    -14.04    -25.06     0.022
   -9.31     18.48      8.97       -9.21     18.29      9.03     0.226
  -12.51      4.42     51.87      -12.10      4.83     51.62     0.632
  -38.65      4.44    -23.97      -39.13      4.77    -23.97     0.584
  -15.86      3.07     21.86      -16.45      2.22     21.96     1.035
    1.56     24.66      4.19        1.68     24.52      4.17     0.181
  -18.13    -32.53    -26.34      -18.10    -32.70    -26.36     0.179
   34.07      6.70     18.31       33.99      6.62     18.29     0.121
  -16.64     17.29    -33.31      -16.45     17.75    -33.36     0.497
  -21.29     -9.75      0.12      -21.08     -9.71     -0.06     0.279
    3.07     -9.00     45.51        3.10     -8.65     45.64     0.378
  -13.77      8.16     45.80      -13.50      8.12     45.68     0.298
  -19.72     18.69    -28.99      -19.63     18.96    -28.98     0.291
   40.47      5.57    -22.10       40.52      5.53    -22.11     0.059
  -35.77    -22.94    -16.44      -35.76    -22.93    -16.44     0.014
  -15.29    -26.74     -6.96      -15.39    -26.54     -7.26     0.369
  -23.12      9.25    -40.39      -22.93      9.33    -39.94     0.488
   24.11    -10.72     17.79       24.12    -10.51     17.78     0.214
   17.84     28.72      9.76       17.84     28.72      9.76     0.000
  -28.48     13.96     15.15      -28.65     13.79     15.15     0.240
   10.95      2.23     57.96       11.01      2.44     58.29     0.400
  -38.36      4.86    -27.88      -38.46      4.60    -28.05     0.324
    3.42     -0.15    -21.24        2.94     -0.40    -20.95     0.616
   -3.33     20.73     42.01       -3.12     21.06     42.39     0.548
