400, pa5-H-Output.txt, 6 
  8.2995  125.5882  -82.6129  -149.5735   87.9976  -51.1081
  -23.41    -31.31    -17.86      -23.30    -31.00    -17.97     0.343
   14.69      5.37     45.05       14.94      5.35     45.12     0.267
   27.17     21.12      5.89       27.17     21.10      5.91     0.028
   27.39      2.95      8.07       27.49      2.86      8.24     0.218
  -42.76    -17.06    -30.65      -42.82    -17.09    -30.65     0.062
   27.54     16.59      6.93       26.82     16.45      6.70     0.768
  -18.42    -15.43    -53.09      -18.74    -15.48    -53.39     0.443
    4.95     -3.50     54.48        4.78     -3.32     54.45     0.254
    5.39     -4.78     38.80        4.65     -4.32     38.66     0.878
   17.18    -13.22      2.47       17.25    -13.37      2.57     0.193
    1.95     16.84     25.78        1.94     16.87     25.78     0.026
    2.65     -1.19    -27.55        2.75     -0.98    -27.86     0.382
  -13.51      9.91    -21.85      -13.55      9.76    -21.88     0.148
   13.21    -12.71    -21.02       12.87    -13.00    -20.71     0.539
  -29.12      9.76    -38.13      -29.14      9.90    -38.25     0.188
  -31.53    -30.90    -20.20      -31.73    -31.15    -20.00     0.379
  -28.93    -24.34    -47.24      -28.93    -24.21    -47.11     0.176
   24.41      5.47    -30.20       24.46      5.45    -30.11     0.106
   -0.43     -1.95     62.94       -0.73     -2.46     62.94     0.590
    1.26     15.90     56.69        0.92     16.20     56.72     0.452
  -20.07      7.99    -17.34      -20.05      7.83    -17.42     0.178
   -3.44      2.55     16.40       -3.74      2.64     16.39     0.317
   18.14     14.07    -11.02       18.66     14.18    -10.89     0.545
   32.10     15.17     -4.47       31.83     14.74     -4.29     0.540
   23.59     21.68     14.88       23.85     22.09     14.90     0.493
   22.16     18.16    -29.09       22.34     18.23    -29.18     0.204
   -3.20     -4.17     13.87       -3.73     -4.46     14.37     0.780
   -2.55     13.58     28.57       -2.18     14.52     28.28     1.049
   -0.71      0.13     40.47       -0.60      0.20     40.47     0.128
   -3.77     -1.92     16.98       -3.77     -1.94     16.98     0.019
  -26.11    -33.22    -25.73      -25.90    -33.78    -25.66     0.599
   11.09    -17.38    -11.48       11.13    -17.25    -11.59     0.177
  -41.80      1.19    -32.69      -41.87      1.21    -32.70     0.071
   18.49     18.05     40.14       18.24     18.18     40.07     0.290
   -0.60    -19.83    -34.52       -0.87    -19.81    -34.54     0.280
   15.39      5.99     41.62       15.84      5.95     41.71     0.462
  -40.34    -24.01    -24.29      -40.31    -23.98    -24.28     0.042
   -8.80     10.42     44.17       -8.12     10.17     43.88     0.785
   14.56      5.73     50.87       14.46      5.74     50.86     0.102
    1.81      8.18    -13.13        1.60      8.54    -13.04     0.433
   21.34      7.20     16.91       20.83      7.51     16.59     0.672
    6.32     -8.90    -25.18        6.07     -9.00    -24.87     0.414
    6.44     18.36     50.19        6.00     19.16     50.19     0.919
  -34.17     -9.01     -8.23      -34.23     -8.96     -7.91     0.329
    8.04      3.44     64.28        8.07      3.53     64.65     0.375
  -38.46    -26.61    -29.87      -38.29    -26.55    -29.85     0.178
    4.60    -17.37    -10.56        4.74    -17.62    -10.53     0.291
   14.80    -16.28     -0.65       14.77    -16.36     -0.62     0.091
   15.24     25.34     -3.83       15.20     25.36     -3.85     0.052
  -17.04    -33.02    -31.83      -17.56    -32.83    -31.79     0.553
    1.35     -3.07     52.28        1.31     -3.10     52.28     0.052
  -23.06    -29.38    -14.88      -23.04    -29.52    -14.82     0.154
   -1.27      3.81     41.52       -0.99      3.89     41.41     0.313
   -0.74     -0.99     34.75       -0.72     -0.94     34.73     0.061
    9.17    -14.98      2.59        9.12    -15.10      2.59     0.135
  -12.50    -25.97    -44.99      -12.46    -26.04    -45.04     0.095
   33.28     12.79    -18.63       32.91     12.87    -18.36     0.458
  -25.55    -33.31    -30.80      -25.46    -33.68    -30.82     0.381
  -26.30    -19.66    -51.41      -26.27    -19.56    -51.30     0.146
  -43.26    -16.45    -20.51      -42.75    -16.31    -20.69     0.558
  -21.84    -31.95    -39.20      -21.73    -32.11    -39.21     0.194
   14.54      5.22     46.94       14.72      5.20     46.95     0.189
    5.85      4.68     64.88        5.86      4.69     64.90     0.021
  -15.45    -30.74    -39.81      -15.51    -30.34    -39.63     0.447
   33.48     -0.74     -8.08       33.84     -1.21     -8.19     0.602
  -42.88    -13.39    -16.92      -42.91    -13.39    -16.92     0.037
   29.65      5.21      7.22       29.52      5.22      7.12     0.159
   17.24     13.42     41.01       17.24     13.41     41.02     0.005
