400, pa5-J-Output.txt, 6 
 51.8358  -66.1709    3.1328  -141.5920  -49.6475  -26.5326
  -18.54     -6.43    -46.91      -18.65     -6.43    -46.70     0.235
    1.25     -4.00    -26.78        1.32     -3.88    -27.12     0.360
   37.92      0.01    -18.22       37.58     -0.01    -18.16     0.344
   31.75     18.46      7.51       31.88     18.55      7.53     0.156
  -25.68    -35.52    -22.88      -25.72    -35.02    -22.73     0.523
  -12.90      9.27    -37.18      -12.92      9.15    -37.00     0.216
  -13.17      8.91    -37.38      -13.18      8.82    -37.25     0.151
   21.65     -5.40     11.43       21.70     -5.51     11.46     0.120
  -31.00      5.63    -36.71      -30.83      5.07    -36.47     0.639
  -10.38    -17.59    -43.98      -10.36    -17.59    -44.12     0.140
   -8.92     -6.00    -40.72       -8.57     -5.84    -40.91     0.423
  -11.05      8.41    -36.09      -10.85      8.46    -36.32     0.308
  -11.84     13.39    -27.79      -11.93     13.20    -27.78     0.214
  -40.18      1.05    -34.22      -39.73      0.82    -34.02     0.540
    1.65      0.74    -24.98        1.65      0.74    -24.99     0.010
    2.63    -12.30      9.66        2.67    -12.24      9.66     0.065
   14.00     -3.44     48.93       14.28     -3.73     48.93     0.404
  -10.72    -32.71    -25.08      -10.62    -32.89    -25.10     0.200
   -1.06    -15.39    -35.05       -0.88    -15.19    -35.14     0.281
  -26.02    -35.23    -24.88      -26.03    -34.77    -24.86     0.467
    7.00    -14.72    -18.93        7.01    -14.81    -18.96     0.094
  -36.11    -13.57    -43.71      -36.18    -13.59    -43.91     0.213
    8.65     25.67     20.59        8.73     25.41     20.55     0.277
   31.54     -2.88    -30.34       31.42     -2.74    -30.17     0.255
   32.54     17.76      6.29       32.80     17.89      6.47     0.348
   40.37      5.21     -9.39       40.59      5.15     -9.39     0.238
    8.69     16.29     62.65        8.84     16.50     62.74     0.281
   14.50     25.45     -8.88       15.07     24.95     -8.65     0.795
  -32.79      4.00    -12.34      -32.52      4.13    -11.87     0.557
  -25.68    -29.79    -37.95      -25.65    -29.66    -37.83     0.179
    7.03    -14.65    -19.08        7.05    -14.76    -19.11     0.110
  -22.03     -4.14    -46.07      -22.02     -4.05    -46.26     0.217
  -43.31     -7.70    -34.00      -43.53     -7.89    -34.08     0.300
  -13.45     23.53     21.63      -14.10     23.59     21.61     0.655
  -45.66     -4.94    -22.34      -45.22     -5.14    -22.38     0.479
   29.24     19.69     11.89       29.39     19.83     11.95     0.216
  -39.58    -24.66    -30.30      -39.91    -24.84    -30.47     0.408
  -33.40    -22.04     -5.07      -33.44    -22.06     -5.01     0.071
   30.03    -12.35    -13.74       30.07    -12.40    -13.75     0.065
   -6.46     -1.82     34.50       -6.55     -1.85     34.50     0.092
   -8.80      5.95    -35.39       -9.24      5.96    -35.12     0.513
   -1.93    -10.06     64.08       -1.89     -9.86     64.13     0.208
   15.22     12.81     54.81       15.32     12.88     54.82     0.127
  -39.97    -16.25     -6.59      -39.88    -16.29     -6.73     0.177
   17.53     -4.63     21.41       17.73     -5.02     21.52     0.444
  -28.32     10.24    -18.23      -28.30     10.43    -18.06     0.255
   -5.03     -6.87     56.47       -4.89     -6.69     56.48     0.228
   19.31      7.77     43.93       19.22      7.77     43.91     0.095
   32.69     -4.93    -14.37       33.15     -5.17    -14.26     0.534
    7.76      0.05    -24.53        7.75      0.08    -24.55     0.038
  -43.58     -2.01    -31.77      -43.39     -2.16    -31.71     0.248
    1.98    -10.03     19.28        1.98    -10.00     19.28     0.027
   36.70     17.65    -14.33       36.38     17.62    -14.45     0.337
    2.02    -18.89    -30.23        2.34    -18.83    -30.23     0.328
   26.45     -5.50      9.14       26.21     -5.07      9.02     0.508
  -25.40    -26.45     -4.51      -25.55    -25.97     -5.01     0.711
   -8.45    -18.21    -43.07       -8.41    -18.20    -43.11     0.048
   13.17     13.87    -12.66       13.15     13.90    -12.67     0.036
  -10.71    -31.22    -14.00      -10.66    -31.34    -13.98     0.133
   14.75     25.93     -8.47       15.24     25.81     -8.18     0.575
  -11.66     -9.75      3.75      -11.63     -9.73      3.74     0.031
    3.41    -18.05    -14.32        3.62    -18.37    -14.35     0.382
   23.25     28.31      2.76       23.28     27.91      2.80     0.401
   -8.69    -19.94     -4.71       -8.57    -19.69     -5.26     0.621
   19.37     20.75     30.76       19.18     20.58     30.80     0.256
    0.59     19.63      7.11        0.30     19.80      6.91     0.390
   22.80     -0.84    -31.30       22.52     -0.77    -31.61     0.426
    7.97     -6.89    -24.04        7.89     -7.00    -23.87     0.211
   -5.09     27.93     26.31       -5.14     28.12     26.37     0.203
   -4.46      0.09     65.91       -4.46      0.09     65.92     0.008
   14.91     17.84     48.64       14.86     17.81     48.61     0.062
   14.77     20.49     37.17       14.75     20.20     37.15     0.286
  -32.29      8.94    -18.14      -32.24      8.87    -18.16     0.083
  -20.96    -15.11     -2.05      -21.01    -15.00     -2.27     0.255
   -5.62    -12.79      4.40       -5.67    -13.01      4.56     0.272
   16.68     29.16      6.30       16.69     28.47      6.22     0.692
    1.98      2.60     64.91        2.00      2.60     64.88     0.033
   24.22      1.41    -31.93       24.17      1.37    -32.15     0.225
   14.13      8.19     67.07       14.19      8.27     67.19     0.162
  -29.59     11.11    -22.07      -29.80     11.41    -22.01     0.364
   27.04      5.76    -33.97       27.06      5.76    -33.95     0.032
  -18.75    -19.66    -46.27      -18.76    -19.65    -46.19     0.077
  -37.38      5.74    -23.37      -37.57      6.06    -23.29     0.383
   18.70      5.82     46.57       18.76      5.82     46.58     0.068
   15.47     24.70     21.05       15.50     24.44     20.88     0.316
  -19.11    -31.65    -11.55      -18.95    -31.97    -11.28     0.441
   18.09     13.58    -21.50       17.99     13.59    -21.55     0.112
   -7.04      3.85     24.60       -7.36      3.88     24.61     0.325
   -0.58     -9.60     65.42       -0.57     -9.60     65.70     0.282
  -42.89    -17.67    -13.94      -42.63    -17.59    -14.00     0.275
    3.99    -17.51     -8.20        3.86    -17.30     -8.20     0.241
  -19.69    -35.35    -25.36      -19.73    -34.74    -25.37     0.612
    7.36     17.63     52.83        7.40     17.57     52.83     0.078
   19.93     10.59    -26.78       19.77     10.66    -26.80     0.173
   17.42    -18.31     -9.15       17.41    -18.20     -9.16     0.110
   27.02      9.64    -32.89       26.99      9.62    -33.13     0.243
   14.49     -4.26     38.98       14.41     -4.17     38.98     0.119
   17.04    -16.63     -5.48       17.09    -16.68     -5.41     0.096
   15.38     -1.93     52.27       15.65     -2.08     52.30     0.310
  -17.43      2.41    -42.61      -17.44      2.49    -42.74     0.155
  -11.27     -6.67      5.21      -11.77     -6.92      5.49     0.627
  -42.33    -17.76    -32.81      -42.24    -17.78    -32.80     0.097
   26.51      7.63    -33.03       26.52      7.63    -32.96     0.077
   22.23     29.33    -26.56       22.01     29.07    -26.37     0.391
  -28.50      9.16    -33.56      -28.68      9.28    -33.62     0.224
   -3.83    -23.91    -33.00       -3.82    -23.94    -33.02     0.045
  -26.34     -2.90    -45.32      -26.44     -2.80    -45.57     0.284
   -9.60    -20.91     -4.76       -9.86    -20.63     -5.37     0.724
  -45.91     -8.68    -19.72      -45.53     -8.67    -19.72     0.380
  -28.63    -32.75    -33.10      -28.74    -33.03    -33.23     0.328
  -43.30    -15.63    -28.69      -43.24    -15.68    -28.61     0.109
   11.58     10.55    -16.73       11.61     10.38    -16.54     0.253
    7.39     18.19     44.86        7.43     18.00     44.84     0.192
   -6.97      5.55     30.36       -7.27      5.67     30.45     0.336
   -8.97     -3.12     15.08       -8.73     -3.05     15.05     0.253
  -25.86    -35.43    -19.14      -25.91    -35.24    -19.17     0.197
   23.60     28.86    -15.25       23.81     29.30    -15.25     0.493
  -16.02    -11.18    -47.60      -16.04    -11.19    -47.48     0.119
    8.04     16.53     62.68        8.28     16.87     62.82     0.442
   -6.48      6.62     43.14       -6.46      6.61     43.14     0.023
   -6.19     -9.35    -37.55       -5.87     -9.34    -37.99     0.548
  -12.54     18.56     17.72      -12.69     18.51     17.66     0.160
   17.17     21.17     32.39       17.31     21.75     32.19     0.637
  -12.52      1.93    -40.55      -12.54      2.05    -40.71     0.202
    1.48     22.96     31.21        1.63     23.29     31.39     0.407
   -6.07      2.69     66.14       -6.04      2.69     66.33     0.196
   27.51     26.18     -4.11       27.05     25.82     -4.14     0.583
    6.53     -4.18    -24.43        6.39     -4.11    -24.54     0.182
  -12.50     18.25     18.21      -12.74     18.16     18.12     0.276
   16.79     20.14    -23.23       17.11     20.32    -23.29     0.375
   19.63     22.00     24.31       19.69     22.08     24.34     0.094
   -0.26    -14.76    -33.41       -0.31    -14.83    -33.37     0.093
  -42.46    -19.56    -15.60      -42.36    -19.53    -15.62     0.100
  -15.84     -4.41    -46.06      -15.97     -4.46    -45.45     0.632
   -0.32      9.96     65.34       -0.27      9.97     65.17     0.185
    4.57     -9.70     20.68        4.41     -9.31     20.63     0.424
   38.79     12.71     -9.52       38.53     12.27     -9.67     0.532
  -22.48      0.02    -44.49      -22.50     -0.01    -44.17     0.318
   12.72      6.15     67.08       12.70      6.32     66.87     0.267
  -42.49    -17.46    -31.12      -42.45    -17.47    -31.11     0.044
    0.76    -19.36     -8.24        0.70    -19.51     -8.34     0.181
   15.90     21.83    -24.20       16.07     21.92    -24.22     0.194
   10.88     26.05      1.59       11.12     25.70      1.77     0.454
  -13.74     -5.08    -46.35      -13.74     -5.09    -46.34     0.012
   -8.49      3.81     11.95       -8.92      3.83     11.99     0.439
   30.28     23.53     -0.08       29.90     22.98     -0.09     0.664
   -3.20     -7.11     52.07       -3.53     -7.43     52.03     0.464
  -11.69     16.65     18.60      -12.21     16.45     18.39     0.597
  -25.91    -15.28     -1.80      -25.91    -15.29     -1.76     0.044
  -35.66     -1.02    -40.09      -35.57     -1.04    -39.89     0.220
   15.77      7.57     65.61       15.56      7.50     65.56     0.226
   -0.84     27.98     14.17       -0.87     27.89     14.18     0.088
  -11.90     -9.16      4.18      -11.73     -9.09      4.08     0.208
  -15.50     -9.44      1.00      -15.45     -9.46      0.80     0.205
   28.17      2.14    -33.66       28.27      2.09    -33.74     0.137
    4.24     -9.12     23.27        4.20     -9.04     23.25     0.085
   -2.94     -7.18    -30.26       -2.80     -7.18    -30.44     0.232
    8.70     20.09     34.76        8.79     20.32     34.88     0.277
   10.51     10.70     66.90       10.58     10.93     67.30     0.465
  -29.63    -29.40     -8.92      -30.01    -30.17     -8.52     0.940
  -35.08    -30.82    -20.23      -35.07    -30.81    -20.23     0.010
  -16.63    -26.45     -5.52      -16.59    -26.52     -5.41     0.135
   39.32      4.79    -16.95       39.08      4.84    -16.88     0.251
   -1.51     17.36      8.22       -1.18     17.35      8.56     0.473
  -40.00    -21.97    -33.53      -40.14    -22.05    -33.59     0.168
   10.07     -6.75     49.38       10.10     -6.82     49.38     0.073
   13.32    -18.78     -6.36       13.26    -18.17     -6.51     0.625
   15.48     20.24     38.86       15.43     20.06     38.90     0.192
   -8.20    -30.53    -29.68       -8.20    -30.52    -29.67     0.011
   -4.35    -26.17    -12.06       -4.34    -26.19    -12.04     0.028
   -1.11     18.18      8.49       -1.09     18.51      8.59     0.350
    0.43     -8.38     37.54        0.54     -8.07     37.54     0.327
  -15.32     -3.40    -45.89      -15.46     -3.45    -45.25     0.657
  -11.65     26.61     21.90      -11.60     26.56     21.91     0.062
   31.52     -2.61    -30.31       31.48     -2.57    -30.26     0.071
   20.37      7.07    -29.18       20.53      7.03    -29.06     0.208
  -12.27    -24.44    -42.53      -12.41    -24.38    -42.52     0.153
   -5.13    -17.37    -39.21       -4.92    -17.48    -39.37     0.283
  -29.70    -25.72     -4.44      -29.58    -25.66     -4.85     0.436
   -8.96     12.01    -25.26       -8.56     12.27    -25.20     0.478
   36.54     13.77      2.90       36.83     13.95      2.98     0.350
   10.18    -13.26    -18.83       10.13    -13.19    -18.80     0.092
   -2.23     28.70     20.06       -2.23     28.71     20.06     0.014
    6.20    -13.87      5.33        6.20    -13.70      5.24     0.192
   -0.07     12.11     62.74       -0.16     12.23     62.74     0.154
    4.28     -9.79     20.52        4.13     -9.44     20.48     0.372
  -14.75    -33.51    -30.43      -14.73    -33.60    -30.45     0.089
   34.54     -3.24      1.64       34.49     -3.21      1.61     0.070
    2.25    -17.52    -24.10        2.13    -17.58    -24.03     0.156
  -30.56    -34.02    -28.27      -30.43    -33.69    -28.22     0.353
  -13.78      6.32    -38.74      -13.79      6.29    -38.65     0.094
  -15.59    -16.06    -46.69      -15.57    -15.92    -46.50     0.236
  -10.28    -11.73    -44.47       -9.94    -11.70    -44.67     0.391
   15.60     12.93     53.49       15.55     12.90     53.48     0.064
   26.56     21.96    -28.76       26.43     21.75    -28.67     0.271
   34.23     17.12    -25.73       34.01     16.95    -25.56     0.326
   13.71     -2.81     59.55       13.79     -2.97     59.54     0.178
  -31.12    -24.96    -40.69      -31.77    -26.05    -40.88     1.282
   22.15      5.14    -31.55       22.28      5.13    -31.29     0.287
  -32.86    -32.50    -27.89      -32.83    -32.45    -27.88     0.059
    3.18     10.43     66.70        3.21     10.44     66.62     0.092
    5.01      4.14     66.82        4.93      4.20     66.76     0.119
   -7.56     -9.74      7.80       -7.90    -10.01      8.09     0.520
   -1.55      0.21    -28.00       -1.67      0.10    -27.74     0.308
   22.19      7.28    -31.12       22.46      7.14    -30.77     0.470
   -0.13     -8.09     66.10       -0.15     -8.09     65.68     0.416
   16.44      0.25     57.59       16.63      0.12     57.60     0.226
  -14.11    -14.52    -46.65      -14.56    -14.47    -46.26     0.597
   -7.05      1.51    -34.24       -7.19      1.45    -34.17     0.172
  -41.63    -15.11     -9.26      -41.42    -15.10     -9.38     0.243
   -2.91     28.54     21.45       -2.84     28.82     21.45     0.289
  -35.26     -7.87     -4.88      -35.30     -7.80     -4.70     0.197
    9.38     22.57     30.10        9.34     22.45     30.10     0.131
   -6.46      4.78    -30.69       -6.96      4.74    -30.25     0.666
   16.66     26.61     14.29       16.66     26.59     14.29     0.019
   39.49      6.76    -15.79       39.57      6.76    -15.81     0.086
    1.07    -15.74    -30.93        1.27    -15.56    -30.93     0.270
  -19.40    -32.42    -12.03      -19.30    -32.61    -11.84     0.283
   27.87     10.07     17.55       28.16      9.97     17.74     0.363
   16.91     -4.32     25.40       17.07     -4.60     25.41     0.320
    6.03    -15.78      1.52        6.15    -15.68      1.48     0.168
   22.88     27.55    -27.70       22.82     27.43    -27.58     0.174
   -7.33     -3.64     51.02       -7.52     -3.79     51.01     0.238
  -36.53     -2.25     -6.72      -36.49     -2.27     -6.75     0.053
   -0.38    -20.00    -33.10       -0.37    -20.04    -33.14     0.064
   -9.03      5.96     -3.85       -8.88      5.32     -4.12     0.710
    1.90     22.94      7.72        2.39     22.17      8.02     0.964
    1.82    -10.53     17.80        1.81    -10.46     17.78     0.075
   16.91     25.34    -18.34       16.45     25.34    -18.36     0.462
   26.71    -12.18     -7.56       26.77    -12.20     -7.53     0.063
   -0.29    -12.23      5.97       -0.29    -12.10      5.95     0.136
  -46.04     -7.60    -24.13      -45.97     -7.62    -24.13     0.070
  -11.83      7.72    -37.31      -11.82      7.72    -37.33     0.021
    7.63     12.75     66.79        7.61     12.70     66.73     0.075
  -27.01     12.96    -25.44      -27.17     13.24    -25.41     0.323
   11.47     -6.39     39.60       11.36     -6.07     39.58     0.336
    8.86     19.32     40.97        8.73     19.53     41.04     0.252
   -5.36     29.04     22.59       -5.33     29.27     22.62     0.231
   36.56     -0.09      3.84       36.43     -0.01      3.79     0.162
   -8.22     -1.06     48.31       -7.47     -1.21     48.73     0.879
    7.58      3.56     66.30        7.62      3.39     65.83     0.508
   -1.43     26.71     10.60       -1.59     26.36     10.94     0.507
   10.82     23.45     -2.71       11.21     23.15     -2.63     0.495
  -14.14     -5.09    -46.30      -14.12     -5.13    -46.23     0.082
   26.53    -14.65    -10.67       26.58    -14.72    -10.64     0.097
  -22.09    -34.21    -32.64      -22.11    -34.10    -32.59     0.121
    2.46     -8.45     36.74        2.36     -8.78     36.74     0.348
   -7.49      4.73     47.09       -7.36      4.62     47.13     0.178
    5.48     16.01     55.03        5.45     16.05     55.05     0.057
  -10.35    -25.43     -7.56      -10.37    -25.33     -7.80     0.256
   20.46     -2.77     20.27       20.62     -2.89     20.32     0.204
  -12.73      2.17    -40.36      -12.75      2.29    -40.51     0.196
   22.59      8.37     28.75       22.67      8.37     28.76     0.078
   21.85     22.69     20.08       21.74     22.52     19.99     0.221
    4.81    -13.54      4.41        4.91    -13.31      4.34     0.264
   27.41     -2.77     10.57       27.40     -2.83     10.79     0.227
   36.65     -2.54    -13.29       36.72     -2.17    -13.40     0.391
   -7.74      8.96     18.65       -7.16      9.05     18.64     0.584
   25.75      2.03     15.52       25.87      1.96     15.55     0.142
  -39.96    -16.11    -39.12      -39.84    -16.06    -38.96     0.209
    6.67     -4.27     65.87        6.73     -4.21     66.10     0.240
   -9.71     12.55    -26.54       -9.68     12.79    -26.56     0.239
   38.78     -0.55    -12.08       38.24     -0.28    -11.97     0.607
  -44.32    -16.31    -27.66      -44.35    -16.32    -27.68     0.037
  -23.44     -4.89    -46.19      -23.40     -4.67    -46.66     0.519
   14.86     20.38     36.04       14.85     20.27     36.03     0.105
   16.76     24.68     20.23       16.77     24.74     20.25     0.060
  -22.06      3.26    -10.52      -21.95      3.32    -10.77     0.283
  -31.07      5.59    -36.66      -30.91      5.06    -36.44     0.600
   38.03      4.18      6.16       37.89      4.25      6.10     0.167
   10.18     -6.69     32.70       10.20     -6.75     32.70     0.063
   10.19     -7.42     21.75       10.24     -6.63     21.64     0.793
   12.14     -4.52     60.68       11.80     -4.23     60.72     0.456
   -5.39      8.72     50.12       -5.35      8.59     50.22     0.168
   -8.16     10.59    -26.48       -8.09     10.62    -26.50     0.083
  -16.21    -30.33    -36.58      -16.16    -30.48    -36.68     0.187
   39.74      9.45    -11.49       40.38      9.55    -11.63     0.662
   14.87     -1.01     64.63       14.27     -0.68     64.16     0.832
   17.64      0.33     47.01       17.40      0.45     47.00     0.268
   24.69    -12.57    -20.21       24.69    -12.59    -20.23     0.032
  -37.34    -12.02    -43.27      -37.38    -12.01    -43.33     0.074
  -32.56    -32.96    -27.77      -32.42    -32.74    -27.73     0.266
   30.01     11.91     15.51       29.77     11.79     15.44     0.272
   10.04     -6.01     64.37       10.15     -6.10     64.49     0.184
    3.06     25.33     23.35        3.06     25.33     23.36     0.006
   15.15      0.05     65.25       14.46      0.43     64.70     0.958
    1.77    -10.02     63.46        1.74    -10.41     63.38     0.397
   -9.94    -18.34    -44.42       -9.88    -18.32    -44.53     0.133
   19.41     30.08     -1.97       19.48     30.24     -1.90     0.194
    1.03    -12.89      2.83        1.00    -12.53      2.76     0.364
    5.46      2.84     66.10        5.38      2.75     66.09     0.121
   19.99     20.82     27.41       20.03     20.87     27.43     0.065
   40.22      5.70     -5.12       40.61      5.62     -5.09     0.400
  -44.51    -15.47    -27.07      -44.44    -15.51    -27.15     0.116
   15.54     20.88    -10.98       15.32     20.84    -11.12     0.263
  -23.15     -3.79    -45.95      -23.13     -3.68    -46.18     0.253
  -38.65    -27.70    -22.81      -39.16    -28.14    -22.80     0.678
  -19.01    -10.80     -0.66      -19.23    -10.54     -0.21     0.561
   -7.68     -4.76     16.79       -7.99     -4.66     16.88     0.340
  -41.88    -19.04    -13.41      -42.05    -19.09    -13.37     0.181
   -2.51     -0.71    -29.34       -2.79     -0.98    -28.75     0.709
  -17.77    -18.46     -2.59      -17.81    -18.25     -3.08     0.534
   20.74     16.39     35.47       20.45     16.33     35.19     0.403
  -25.90    -21.85    -45.66      -25.92    -21.88    -45.76     0.104
    7.41     -7.62     28.65        7.50     -7.94     28.62     0.334
   18.22     -8.12    -24.01       18.33     -7.67    -23.59     0.633
  -11.94     -4.86    -44.90      -11.89     -4.81    -44.95     0.082
   18.30     20.90     34.69       18.34     21.04     34.74     0.161
  -42.39    -13.56    -29.78      -42.40    -13.57    -29.78     0.018
   -6.72      7.68     33.71       -6.45      7.54     33.62     0.313
   -0.03     17.10      7.91       -0.02     17.14      7.87     0.054
    9.50     25.94      4.46        9.57     25.85      4.50     0.127
  -36.90    -12.68    -43.61      -36.94    -12.68    -43.71     0.109
  -17.90    -12.29    -47.77      -17.82    -12.24    -48.09     0.328
   -6.96      8.37    -27.35       -6.98      8.36    -27.34     0.023
    3.82    -17.08     -7.11        3.95    -17.30     -7.12     0.254
  -24.41      8.65    -36.20      -24.39      8.71    -36.43     0.241
   33.25     11.47    -32.86       33.23     11.54    -32.74     0.145
  -31.26    -19.62    -45.11      -31.24    -19.84    -45.48     0.431
    7.10     -4.82    -24.42        7.19     -4.84    -24.50     0.122
   30.12     17.58     13.00       30.37     17.69     13.08     0.285
   -2.90     -9.19    -33.48       -3.17     -9.27    -33.32     0.324
