150, pa5-K-Output.txt, 6 
-112.8076   83.4077   16.9253  -109.1979  -42.3484  -110.0631
  -20.26    -15.67    -54.05      -20.44    -15.82    -53.42     0.666
  -29.71    -15.88     -6.34      -29.58    -15.67     -6.63     0.381
  -31.55    -33.22    -36.41      -31.68    -33.54    -36.57     0.377
   30.11     -2.78      3.27       30.60     -3.23      2.85     0.790
   31.96     16.67    -10.30       32.04     16.72    -10.29     0.094
   31.34      0.68      8.00       31.70      0.65      8.06     0.367
   23.64     25.80     -0.90       24.16     26.45     -0.77     0.839
  -35.16    -27.99    -17.59      -35.02    -28.49    -17.39     0.552
   21.43     -2.89     19.28       21.60     -3.13     19.36     0.299
   19.50     10.78     50.77       19.16     10.66     50.62     0.386
   22.52    -11.12     -0.18       22.46    -11.00     -0.17     0.139
  -39.22     -2.93    -12.81      -39.12     -3.03    -13.08     0.305
  -36.63     -2.32    -11.48      -36.54     -2.34    -11.52     0.103
   11.21     15.22     -1.34       11.26     15.28     -1.45     0.137
  -13.86     19.17     30.24      -13.65     19.12     30.05     0.290
   11.17     19.97      1.43       10.73     20.17      1.37     0.488
   13.60     -5.08     40.37       13.31     -5.98     40.36     0.944
  -20.54    -32.30    -14.97      -20.53    -32.30    -15.18     0.210
   24.77      4.22     20.92       24.35      4.30     20.88     0.428
  -17.72    -20.15    -52.24      -17.72    -20.27    -52.48     0.266
   -5.37    -23.13     -8.87       -5.52    -22.90     -8.56     0.411
  -11.91      2.29      1.75      -12.36      2.77      2.06     0.727
  -19.99    -16.09    -53.88      -20.12    -16.19    -53.42     0.491
   33.84      3.15      2.44       33.76      3.18      2.46     0.079
  -25.26    -27.03    -48.61      -25.27    -27.06    -48.67     0.071
   26.80     23.38     -9.38       26.88     23.43     -9.37     0.095
  -36.13     -0.37    -47.91      -35.83     -0.42    -47.58     0.450
    5.53    -13.60    -20.93        5.47    -13.59    -20.91     0.061
   24.59      4.43    -26.52       24.92      3.73    -27.36     1.142
    4.11    -10.44     13.67        4.18    -10.14     13.62     0.309
   -2.86     26.47     20.47       -2.79     26.18     20.57     0.315
  -34.75      4.97    -13.91      -34.74      5.00    -13.86     0.059
    5.14     -6.34     45.09        5.28     -6.06     45.08     0.315
   -0.19    -19.41    -34.23        0.44    -19.26    -34.33     0.647
   28.98     13.33    -24.36       28.97     13.31    -24.35     0.032
   34.84      4.11    -11.56       34.39      4.44    -11.52     0.559
  -33.36      9.48    -22.33      -33.52      9.73    -22.29     0.302
   -4.94     24.43     38.17       -4.78     24.29     37.79     0.437
    3.22    -25.38    -13.37        3.07    -24.97    -13.38     0.443
  -22.57     -7.23     -6.11      -22.59     -7.22     -6.07     0.045
  -12.26     18.73     31.87      -12.40     18.73     31.94     0.161
   18.84     26.41    -17.63       18.62     26.02    -17.42     0.494
   28.72      3.45     12.54       28.47      3.48     12.49     0.254
    2.58     -6.09     27.08        2.62     -6.04     27.06     0.069
   27.09     23.07     -4.24       26.62     22.83     -4.21     0.524
   13.82     18.90    -11.59       14.20     19.04    -11.55     0.413
  -14.60    -29.68    -43.05      -14.50    -29.85    -43.19     0.240
  -40.85     -3.19    -14.41      -40.86     -3.18    -14.40     0.011
  -36.17      8.47    -34.30      -36.32      8.65    -34.36     0.241
  -22.25     -1.99    -53.06      -22.31     -2.06    -53.15     0.128
   22.27     27.50     10.04       22.38     27.69     10.04     0.228
   34.07     10.08    -15.84       33.66     10.05    -15.64     0.455
  -37.33    -18.03    -48.64      -36.60    -17.90    -48.25     0.838
  -17.00    -17.53    -53.13      -16.94    -17.57    -53.23     0.116
   18.70     -0.74     53.02       18.49     -0.76     52.95     0.222
   23.24     23.03     19.21       23.25     23.03     19.21     0.004
    0.16    -20.39    -34.73        0.20    -20.37    -34.88     0.147
   -0.43     -0.35    -24.80       -0.40     -0.32    -24.82     0.048
   22.49     11.03     30.11       23.14     10.86     30.01     0.681
  -18.92     11.58    -42.35      -18.86     11.47    -42.16     0.229
