150 PA5-D-Debug-Output.txt 6
  119.1634   93.2266   60.1081   49.0457   -5.8873  -62.1850
  -11.60   -16.64    -7.56       -11.60   -16.64    -7.56     0.000
   34.15    -6.22   -14.61        34.15    -6.22   -14.61     0.000
    4.87   -14.41   -27.80         4.87   -14.41   -27.80     0.000
    9.29    21.33    12.02         9.29    21.33    12.02     0.000
   -2.54    13.97    65.68        -2.54    13.97    65.68     0.000
   37.90     4.24   -14.66        37.90     4.24   -14.66     0.000
   26.60    13.80   -24.61        26.60    13.80   -24.61     0.000
   -7.21     8.73    68.43        -7.21     8.73    68.43     0.000
  -32.08   -15.46   -10.31       -32.08   -15.46   -10.31     0.000
   -8.01    -9.38     1.31        -8.01    -9.38     1.31     0.000
    9.58    -2.95    28.83         9.58    -2.95    28.83     0.000
   16.26    -2.97    46.24        16.26    -2.97    46.24     0.000
   14.77    20.58   -19.40        14.77    20.58   -19.40     0.000
  -27.97   -16.52   -49.06       -27.97   -16.52   -49.06     0.000
   19.13   -15.53   -11.62        19.13   -15.53   -11.62     0.000
   36.47    12.04     2.70        36.47    12.04     2.70     0.000
   20.16    15.53    42.28        20.16    15.53    42.28     0.000
   28.50    17.51   -19.18        28.50    17.51   -19.18     0.000
   18.75    23.36     1.72        18.75    23.36     1.72     0.000
   15.78    -5.49   -24.94        15.78    -5.49   -24.94     0.000
  -35.38   -23.34   -19.16       -35.38   -23.34   -19.16     0.000
   34.70    -0.06   -25.24        34.70    -0.06   -25.24     0.000
    3.45    -1.83   -24.83         3.45    -1.83   -24.83     0.000
   35.38    11.34   -10.69        35.38    11.34   -10.69     0.000
   -6.77     1.07    36.50        -6.77     1.07    36.50     0.000
   -6.60   -15.80    -6.90        -6.60   -15.80    -6.90     0.000
   25.63    20.93    -3.97        25.63    20.93    -3.97     0.000
   -4.48   -17.14   -41.44        -4.48   -17.14   -41.44     0.000
   14.97    -8.63     7.69        14.97    -8.63     7.69     0.000
   10.91    -6.78   -24.19        10.91    -6.78   -24.19     0.000
   22.44    22.20     4.70        22.44    22.20     4.70     0.000
  -30.34    -1.42   -47.21       -30.34    -1.42   -47.21     0.000
   10.67    10.57    70.42        10.67    10.57    70.42     0.000
   37.13     1.33    -2.46        37.13     1.33    -2.46     0.000
   31.47    11.15   -22.40        31.47    11.15   -22.40     0.000
   19.98    -7.62     5.21        19.98    -7.62     5.21     0.000
    1.83    15.74     4.03         1.83    15.74     4.03     0.000
    5.04    -1.85    44.30         5.04    -1.85    44.30     0.000
    4.49    11.67    -5.63         4.49    11.67    -5.63     0.000
  -20.83   -12.78   -50.66       -20.83   -12.78   -50.66     0.000
  -24.04     7.33   -16.90       -24.04     7.33   -16.90     0.000
   10.71    -2.55    31.57        10.71    -2.55    31.57     0.000
   24.97    -0.74    34.14        24.97    -0.74    34.14     0.000
   -0.18    -0.20   -25.65        -0.18    -0.20   -25.65     0.000
   -3.00     0.20    47.10        -3.00     0.20    47.10     0.000
   31.01     4.64   -28.75        31.01     4.64   -28.75     0.000
    5.73    18.73     3.61         5.73    18.73     3.61     0.000
    9.08    -4.83    20.29         9.08    -4.83    20.29     0.000
   11.82   -12.92   -19.09        11.82   -12.92   -19.09     0.000
  -25.47    -8.95    -8.80       -25.47    -8.95    -8.80     0.000
   27.03    20.19    -3.20        27.03    20.19    -3.20     0.000
   -3.35   -23.80   -27.78        -3.35   -23.80   -27.78     0.000
  -11.01   -27.96   -23.06       -11.01   -27.96   -23.06     0.000
   21.40    13.29    53.54        21.40    13.29    53.54     0.000
  -34.53   -15.53   -12.07       -34.53   -15.53   -12.07     0.000
   12.38    -3.99    63.60        12.38    -3.99    63.60     0.000
   -2.27     7.59    -6.21        -2.27     7.59    -6.21     0.000
  -26.55   -15.77    -8.37       -26.55   -15.77    -8.37     0.000
   32.98    -8.36   -21.54        32.98    -8.36   -21.54     0.000
   -2.73   -17.22   -41.18        -2.73   -17.22   -41.18     0.000
   -6.67    14.17    11.37        -6.67    14.17    11.37     0.000
  -28.33    -8.61    -9.38       -28.33    -8.61    -9.38     0.000
  -31.84     7.82   -34.51       -31.84     7.82   -34.51     0.000
   30.25    -1.02    16.69        30.25    -1.02    16.69     0.000
   -4.25    15.41    10.30        -4.25    15.41    10.30     0.000
    5.08    15.34    -3.92         5.08    15.34    -3.92     0.000
  -14.86     1.92   -46.11       -14.86     1.92   -46.11     0.000
   21.95     8.38    66.11        21.95     8.38    66.11     0.000
   -1.03    -7.65    10.69        -1.03    -7.65    10.69     0.000
  -32.96   -28.17   -29.16       -32.96   -28.17   -29.16     0.000
   19.26    -5.03    14.85        19.26    -5.03    14.85     0.000
  -28.80   -30.85   -30.01       -28.80   -30.85   -30.01     0.000
    0.50    -5.02   -28.96         0.50    -5.02   -28.96     0.000
   -7.06     3.59    46.74        -7.06     3.59    46.74     0.000
   33.14    12.31   -14.02        33.14    12.31   -14.02     0.000
   -4.74   -21.02   -39.05        -4.74   -21.02   -39.05     0.000
   13.51    -2.73    40.59        13.51    -2.73    40.59     0.000
   -1.46    -0.50    46.32        -1.46    -0.50    46.32     0.000
  -15.41   -19.11    -9.01       -15.41   -19.11    -9.01     0.000
   29.81    -5.48     3.37        29.81    -5.48     3.37     0.000
  -21.64    -8.03    -6.89       -21.64    -8.03    -6.89     0.000
   25.10    16.16    13.90        25.10    16.16    13.90     0.000
   10.00    13.74   -22.95        10.00    13.74   -22.95     0.000
  -18.03    -3.22   -48.95       -18.03    -3.22   -48.95     0.000
   -1.51    14.96    63.06        -1.51    14.96    63.06     0.000
    9.10    -3.05    29.53         9.10    -3.05    29.53     0.000
  -13.43     4.72    15.15       -13.43     4.72    15.15     0.000
  -17.46    -5.43    -3.34       -17.46    -5.43    -3.34     0.000
   35.02    -2.05   -23.09        35.02    -2.05   -23.09     0.000
  -10.84    20.21    33.33       -10.84    20.21    33.33     0.000
  -12.56   -29.93   -30.46       -12.56   -29.93   -30.46     0.000
  -27.71   -19.57   -10.15       -27.71   -19.57   -10.15     0.000
   -3.59   -13.89    -4.70        -3.59   -13.89    -4.70     0.000
   -6.21    20.71    18.86        -6.21    20.71    18.86     0.000
  -10.55   -26.46   -38.71       -10.55   -26.46   -38.71     0.000
