400 PA5-E-Debug-Output.txt 6
  112.0191  125.2264   59.2146  100.3040   27.7944  122.2337
   -5.37     8.60    -5.98        -5.36     8.59    -5.98     0.012
    0.26    14.80    -0.87         0.25    14.81    -0.88     0.013
  -30.78    -5.57   -16.54       -30.79    -5.56   -16.54     0.012
  -32.47     1.44   -38.41       -32.53     1.47   -38.46     0.081
   -8.55   -20.64   -20.66        -8.62   -20.63   -20.68     0.069
   37.65    -2.20     7.58        37.74    -2.25     7.56     0.112
  -15.59    -9.88   -48.54       -15.59    -9.88   -48.54     0.001
  -20.37   -12.20   -47.87       -20.37   -12.21   -47.83     0.041
   -5.49    21.15    20.25        -5.50    21.15    20.24     0.010
   18.69     2.68   -27.17        18.72     2.70   -27.15     0.048
   -9.03    11.83    36.56        -9.07    11.87    36.44     0.139
  -23.50   -28.15   -38.32       -23.49   -28.13   -38.31     0.021
   -3.11   -13.74   -27.36        -3.10   -13.74   -27.37     0.021
  -11.78    -7.41     5.38       -11.74    -7.36     5.37     0.067
   23.01    17.86    34.44        23.06    17.93    34.45     0.083
   33.73    11.96    -4.49        33.81    11.94    -4.52     0.093
  -17.77   -25.86   -42.57       -17.76   -25.90   -42.61     0.065
   18.61    16.68   -27.05        18.56    16.64   -26.99     0.091
   25.22    -5.53    13.02        25.19    -5.69    13.06     0.165
  -31.95   -18.71   -14.34       -31.92   -18.71   -14.36     0.031
  -10.16   -22.94   -41.55       -10.15   -22.95   -41.56     0.014
  -10.74    11.55    35.85       -10.73    11.57    35.81     0.046
   14.50    -2.71    39.23        14.50    -2.81    39.24     0.099
  -18.85   -17.63   -48.24       -18.87   -17.59   -48.19     0.071
   40.27     4.05     2.45        40.10     4.12     2.47     0.182
   26.09     6.36    51.11        26.18     6.35    51.12     0.092
   -0.97    -1.87   -26.64        -0.94    -1.85   -26.67     0.051
   14.16     1.33   -18.56        14.21     1.32   -18.49     0.085
  -32.24   -18.52   -14.82       -32.28   -18.52   -14.79     0.044
  -37.28   -12.91   -19.69       -37.25   -12.90   -19.72     0.050
   -6.06    22.45    23.62        -6.07    22.49    23.60     0.052
   -2.87    -7.29   -41.78        -2.99    -7.31   -41.75     0.120
   28.85     8.36    34.65        28.67     8.31    34.62     0.182
   37.14    -3.83    12.55        37.14    -3.83    12.55     0.007
   -6.13   -17.71   -33.82        -6.11   -17.72   -33.82     0.023
    4.97    10.02   -13.07         4.98    10.01   -13.05     0.022
   15.72    12.71   -29.95        15.71    12.72   -29.95     0.007
  -24.21     4.52   -18.20       -24.20     4.50   -18.20     0.021
  -32.87     1.58   -37.62       -32.91     1.63   -37.63     0.064
   28.16    -8.50   -21.20        28.14    -8.45   -21.19     0.059
   25.14     6.83    59.52        24.98     6.86    59.48     0.169
   -6.63   -17.52   -27.47        -6.60   -17.53   -27.46     0.034
   -4.88     5.86    58.16        -5.01     5.86    58.15     0.132
   -5.03     5.65    59.92        -4.99     5.65    59.91     0.048
    6.08    -7.87   -24.82         5.99    -7.85   -24.70     0.151
   -7.96    -3.50    45.50        -7.98    -3.50    45.51     0.015
   -9.71   -13.39   -47.21        -9.69   -13.39   -47.19     0.031
   -5.60    -4.97    45.46        -5.65    -5.21    45.56     0.266
  -26.79   -28.10   -35.30       -26.81   -28.12   -35.31     0.022
   -7.00     3.54   -27.39        -7.00     3.54   -27.39     0.004
  -37.97   -12.69   -41.51       -37.98   -12.68   -41.56     0.052
   28.31     8.27   -23.49        28.31     8.27   -23.49     0.001
  -39.16    -2.92   -25.88       -39.24    -2.89   -25.86     0.089
    4.85   -11.83    -8.51         4.86   -11.74    -8.53     0.095
  -20.49   -15.87   -48.91       -20.50   -15.86   -48.97     0.062
   -2.31    -2.21    59.64        -2.33    -2.23    59.65     0.027
    2.26    -9.27     4.89         2.27    -9.42     4.91     0.152
   -3.97    10.27    -1.58        -4.06    10.36    -1.60     0.136
  -27.47     5.30   -19.58       -27.45     5.25   -19.62     0.068
   27.23    -5.23    18.56        27.29    -5.06    18.53     0.185
   -3.61    18.16    11.99        -3.54    18.13    12.02     0.083
   23.34    -4.48    16.94        23.33    -4.56    16.96     0.079
  -38.33    -4.32   -23.51       -38.35    -4.33   -23.50     0.016
  -25.27   -29.42   -33.99       -25.25   -29.39   -33.98     0.038
   18.13    -6.87     4.22        18.13    -6.85     4.22     0.025
   -3.66     9.21    70.83        -3.74     9.23    70.90     0.113
   -9.99    22.00    23.92        -9.96    21.96    23.94     0.054
  -28.08   -28.16   -28.09       -28.08   -28.17   -28.09     0.005
   -9.57     2.31    24.15        -9.49     2.30    24.14     0.077
   -6.37     3.52   -30.98        -6.36     3.53   -30.98     0.019
  -17.38   -23.07   -16.37       -17.38   -23.07   -16.37     0.002
   30.58    -6.25   -24.36        30.61    -6.26   -24.38     0.037
  -16.89    -1.63    -4.53       -16.90    -1.62    -4.53     0.019
  -24.65   -29.83   -33.40       -24.64   -29.81   -33.40     0.027
   -5.91   -16.79   -38.13        -5.98   -16.73   -38.14     0.088
  -15.59   -29.94   -32.46       -15.55   -30.04   -32.46     0.104
   -1.42   -14.31   -19.52        -1.45   -14.20   -19.50     0.110
   29.67    -8.55    11.16        29.66    -8.46    11.16     0.085
   36.86     1.98    14.02        36.92     2.00    14.04     0.067
   26.80    -5.92    15.63        26.74    -5.97    15.65     0.081
  -12.68     4.96   -29.39       -12.68     5.00   -29.38     0.034
   19.47    17.23   -25.72        19.45    17.21   -25.70     0.032
  -17.87    -5.83   -47.08       -17.86    -5.81   -47.13     0.053
  -15.94     4.96   -24.61       -15.93     5.02   -24.60     0.060
   -2.42    20.29    42.78        -2.48    20.40    42.81     0.130
  -16.50    -1.53    -2.44       -16.55    -1.51    -2.43     0.051
   23.28    20.27     1.67        23.27    20.18     1.66     0.093
  -12.03    -9.59   -47.93       -12.03    -9.59   -47.88     0.044
   13.30    20.55    30.01        13.30    20.61    30.01     0.062
  -22.77     4.96   -40.23       -22.76     4.89   -40.17     0.090
   14.53   -12.36   -17.16        14.51   -12.37   -17.17     0.026
    4.52   -11.38   -21.54         4.52   -11.38   -21.54     0.005
   -5.17     8.48    -7.52        -5.15     8.45    -7.52     0.037
  -12.90   -22.10   -16.49       -12.88   -22.08   -16.53     0.052
  -27.59    -9.69   -46.50       -27.61    -9.70   -46.58     0.080
   23.72   -10.57   -23.76        23.77   -10.70   -23.76     0.141
   27.81     1.13    36.67        27.71     1.18    36.65     0.116
   32.38     6.14   -14.80        32.50     6.15   -14.85     0.138
   12.62    -1.71    71.35        12.61    -1.70    71.40     0.050
   -6.72   -10.79    -7.37        -6.75   -10.92    -7.32     0.142
